1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",34613.99,28.65,115.59,-2.73%,533936
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",7527.32,11.50,43.61,1.28%,3892231
3,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",9255.59,,14.60,0.87%,25443715
4,"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail","USA",11279.20,21.01,186.08,-1.39%,534416
5,"AAPL","Apple Inc.","Technology","Consumer Electronics","USA",2403014.30,24.41,147.43,-1.82%,57167586
6,"ABB","ABB Ltd","Industrials","Specialty Industrial Machinery","Switzerland",51833.79,11.42,27.10,0.63%,1200928
7,"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General","USA",265844.01,22.03,150.57,-1.99%,3971919
8,"ABEV","Ambev S.A.","Consumer Defensive","Beverages - Brewers","Brazil",43098.01,16.88,2.64,-0.38%,27810352
9,"ABM","ABM Industries Incorporated","Industrials","Specialty Business Services","USA",2815.77,19.95,42.14,-0.99%,97126
10,"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage","USA",2167.44,7.10,14.17,2.47%,1231104
11,"ABT","Abbott Laboratories","Healthcare","Medical Devices","USA",185091.94,25.12,107.69,-1.04%,2432091
12,"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology","USA",2540.91,,15.15,-0.85%,608832
13,"ACC","American Campus Communities, Inc.","Real Estate","REIT - Residential","USA",9047.03,164.84,65.18,0.11%,596282
14,"ACGL","Arch Capital Group Ltd.","Financial","Insurance - Diversified","Bermuda",15953.79,9.23,43.24,0.26%,849126
15,"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Medical Care Facilities","USA",6674.44,28.61,75.93,-0.11%,418163
16,"ACIW","ACI Worldwide, Inc.","Technology","Software - Infrastructure","USA",2988.02,21.79,26.65,-0.63%,167783
17,"ACM","AECOM","Industrials","Engineering & Construction","USA",8873.81,32.08,63.58,-0.59%,179195
18,"ACN","Accenture plc","Technology","Information Technology Services","Ireland",169947.08,26.34,270.44,-0.40%,1107839
19,"ADBE","Adobe Inc.","Technology","Software - Infrastructure","USA",174545.66,37.10,377.30,-0.67%,1015659
20,"ADI","Analog Devices, Inc.","Technology","Semiconductors","USA",79691.13,44.81,155.21,-1.74%,1537654
21,"ADM","Archer-Daniels-Midland Company","Consumer Defensive","Farm Products","USA",40345.92,13.29,73.03,1.43%,1151308
22,"ADNT","Adient plc","Consumer Cyclical","Auto Parts","Ireland",2648.23,3.65,28.74,0.70%,309851
23,"ADP","Automatic Data Processing, Inc.","Industrials","Staffing & Employment Services","USA",88227.99,31.62,212.36,-0.83%,576222
24,"ADSK","Autodesk, Inc.","Technology","Software - Application","USA",37145.07,79.95,176.69,0.27%,1038148
25,"ADT","ADT Inc.","Industrials","Security & Protection Services","USA",5972.57,,6.86,0.81%,624461
