No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
460,CRUS,"Cirrus Logic, Inc.",Technology,Semiconductors,USA,4017.76,13.03,71.99,1.47%,364276
461,CS,Credit Suisse Group AG,Financial,Banks - Diversified,Switzerland,14601.56,,5.52,1.66%,14702285
462,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,176786.36,15.04,42.86,-0.90%,17383597
463,CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,USA,23608.96,76.54,59.7,-2.86%,1440078
464,CSIQ,Canadian Solar Inc.,Technology,Solar,Canada,1834.47,22.15,29.3,-0.95%,956720
465,CSTM,Constellium SE,Basic Materials,Aluminum,France,1907.66,4.84,12.95,3.19%,618812
466,CSX,CSX Corporation,Industrials,Railroads,USA,62325.34,16.14,28.42,-1.49%,14355291
467,CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,38606.61,33.32,377.46,-0.87%,469150
468,CTIC,CTI BioPharma Corp.,Healthcare,Biotechnology,USA,726.23,,6.58,0.00%,2974601
469,CTLT,"Catalent, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,18613.26,37.66,104.61,-5.58%,1075620
470,CTMX,"CytomX Therapeutics, Inc.",Healthcare,Biotechnology,USA,79.17,,1.28,0.00%,1414941
471,CTRE,"CareTrust REIT, Inc.",Real Estate,REIT - Healthcare Facilities,USA,1842.5,235.06,19.04,1.49%,557403
472,CTRN,"Citi Trends, Inc.",Consumer Cyclical,Apparel Retail,USA,193.18,3.23,23.08,0.00%,161980
473,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,34238.28,15.63,65.15,-0.84%,3475739
474,CTT,"CatchMark Timber Trust, Inc.",Real Estate,REIT - Specialty,USA,505.75,8.05,10.29,-0.19%,487414
475,CTXR,"Citius Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,129.66,,0.9,-0.19%,352967
476,CUBI,"Customers Bancorp, Inc.",Financial,Banks - Regional,USA,1159.93,3.45,34.77,1.67%,209323
477,CUE,"Cue Biopharma, Inc.",Healthcare,Biotechnology,USA,93.05,,2.63,-3.66%,220230
478,CUK,Carnival Corporation & plc,Consumer Cyclical,Travel Services,USA,10454.7,,8.21,6.21%,4956920
479,CUTR,"Cutera, Inc.",Healthcare,Medical Devices,USA,683.12,,38.27,0.21%,444006
480,CUZ,Cousins Properties Incorporated,Real Estate,REIT - Office,USA,4324.77,15.28,28.43,1.46%,1230928
481,CVE,Cenovus Energy Inc.,Energy,Oil & Gas Integrated,Canada,32986.84,22.66,16.7,-4.46%,9364002
482,CVET,"Covetrus, Inc.",Healthcare,Health Information Services,USA,2897.74,,20.75,0.10%,435459
483,CVI,"CVR Energy, Inc.",Energy,Oil & Gas Refining & Marketing,USA,3140.9,19.57,30.76,-1.82%,807416
484,CVM,CEL-SCI Corporation,Healthcare,Biotechnology,USA,195.3,,4.46,-0.45%,177235
485,CVNA,Carvana Co.,Consumer Cyclical,Internet Retail,USA,4443.79,,22.07,-0.09%,7921452
